benchmark,model,run,path,total,correct,valid,ambiguous,accuracy_all_pct,accuracy_valid_pct,historical_yes,historical_yes_pct
ChemBench,ChemDFM-v1.0-13B,main,results/raw/ChemBench/ChemDFM-v1.0-13B_Qwen3-8B_analytical_chemistry.csv,152,62,152,0,40.78947368421053,40.78947368421053,62,40.78947368421053
ChemBench,ChemDFM-v1.0-13B,main,results/raw/ChemBench/ChemDFM-v1.0-13B_Qwen3-8B_chemical_preference.csv,1000,510,1000,0,51.0,51.0,510,51.0
ChemBench,ChemDFM-v1.0-13B,main,results/raw/ChemBench/ChemDFM-v1.0-13B_Qwen3-8B_general_chemistry.csv,149,85,149,0,57.04697986577181,57.04697986577181,85,57.04697986577181
ChemBench,ChemDFM-v1.0-13B,main,results/raw/ChemBench/ChemDFM-v1.0-13B_Qwen3-8B_inorganic_chemistry.csv,92,65,92,0,70.65217391304348,70.65217391304348,65,70.65217391304348
ChemBench,ChemDFM-v1.0-13B,main,results/raw/ChemBench/ChemDFM-v1.0-13B_Qwen3-8B_materials_science.csv,84,32,84,0,38.095238095238095,38.095238095238095,32,38.095238095238095
ChemBench,ChemDFM-v1.0-13B,main,results/raw/ChemBench/ChemDFM-v1.0-13B_Qwen3-8B_organic_chemistry.csv,429,230,429,0,53.613053613053616,53.613053613053616,230,53.613053613053616
ChemBench,ChemDFM-v1.0-13B,main,results/raw/ChemBench/ChemDFM-v1.0-13B_Qwen3-8B_physical_chemistry.csv,165,97,153,12,58.78787878787879,63.39869281045752,109,66.06060606060606
ChemBench,ChemDFM-v1.0-13B,main,results/raw/ChemBench/ChemDFM-v1.0-13B_Qwen3-8B_technical_chemistry.csv,40,20,40,0,50.0,50.0,20,50.0
ChemBench,ChemDFM-v1.0-13B,main,results/raw/ChemBench/ChemDFM-v1.0-13B_Qwen3-8B_toxicity_and_safety.csv,675,217,675,0,32.148148148148145,32.148148148148145,217,32.148148148148145
ChemBench,ChemLLM-7B-Chat,main,results/raw/ChemBench/ChemLLM-7B-Chat_Qwen3-8B_analytical_chemistry.csv,152,79,152,0,51.973684210526315,51.973684210526315,79,51.973684210526315
ChemBench,ChemLLM-7B-Chat,main,results/raw/ChemBench/ChemLLM-7B-Chat_Qwen3-8B_chemical_preference.csv,1000,830,1000,0,83.0,83.0,830,83.0
ChemBench,ChemLLM-7B-Chat,main,results/raw/ChemBench/ChemLLM-7B-Chat_Qwen3-8B_general_chemistry.csv,149,52,147,2,34.899328859060404,35.374149659863946,54,36.241610738255034
ChemBench,ChemLLM-7B-Chat,main,results/raw/ChemBench/ChemLLM-7B-Chat_Qwen3-8B_inorganic_chemistry.csv,92,56,91,1,60.869565217391305,61.53846153846154,57,61.95652173913044
ChemBench,ChemLLM-7B-Chat,main,results/raw/ChemBench/ChemLLM-7B-Chat_Qwen3-8B_materials_science.csv,84,33,82,2,39.285714285714285,40.24390243902439,35,41.666666666666664
ChemBench,ChemLLM-7B-Chat,main,results/raw/ChemBench/ChemLLM-7B-Chat_Qwen3-8B_organic_chemistry.csv,429,198,429,0,46.15384615384615,46.15384615384615,198,46.15384615384615
ChemBench,ChemLLM-7B-Chat,main,results/raw/ChemBench/ChemLLM-7B-Chat_Qwen3-8B_physical_chemistry.csv,165,81,157,8,49.09090909090909,51.59235668789809,89,53.93939393939394
ChemBench,ChemLLM-7B-Chat,main,results/raw/ChemBench/ChemLLM-7B-Chat_Qwen3-8B_technical_chemistry.csv,40,20,40,0,50.0,50.0,20,50.0
ChemBench,ChemLLM-7B-Chat,main,results/raw/ChemBench/ChemLLM-7B-Chat_Qwen3-8B_toxicity_and_safety.csv,675,155,675,0,22.962962962962962,22.962962962962962,155,22.962962962962962
ChemBench,Qwen3-0.6B,main,results/raw/ChemBench/Qwen3-0.6B_Qwen3-8B_analytical_chemistry.csv,152,35,152,0,23.026315789473685,23.026315789473685,35,23.026315789473685
ChemBench,Qwen3-0.6B,main,results/raw/ChemBench/Qwen3-0.6B_Qwen3-8B_chemical_preference.csv,1000,495,1000,0,49.5,49.5,495,49.5
ChemBench,Qwen3-0.6B,main,results/raw/ChemBench/Qwen3-0.6B_Qwen3-8B_general_chemistry.csv,149,46,149,0,30.87248322147651,30.87248322147651,46,30.87248322147651
ChemBench,Qwen3-0.6B,main,results/raw/ChemBench/Qwen3-0.6B_Qwen3-8B_inorganic_chemistry.csv,92,30,92,0,32.608695652173914,32.608695652173914,30,32.608695652173914
ChemBench,Qwen3-0.6B,main,results/raw/ChemBench/Qwen3-0.6B_Qwen3-8B_materials_science.csv,84,19,84,0,22.61904761904762,22.61904761904762,19,22.61904761904762
ChemBench,Qwen3-0.6B,main,results/raw/ChemBench/Qwen3-0.6B_Qwen3-8B_organic_chemistry.csv,429,133,429,0,31.002331002331,31.002331002331,133,31.002331002331
