benchmark,model,total,correct,valid,ambiguous,accuracy_all_pct,accuracy_valid_pct,historical_yes,historical_yes_pct
ChemBench,ChemDFM-v1.0-13B,2786,1318,2774,12,47.30796841349605,47.5126171593367,1330,47.73869346733668
ChemBench,ChemLLM-7B-Chat,2786,1504,2773,13,53.98420674802584,54.23728813559322,1517,54.450825556353195
ChemBench,Qwen3-0.6B,2786,966,2786,0,34.67336683417086,34.67336683417086,966,34.67336683417086
ChemBench,Qwen3-1.7B,2786,1230,2784,2,44.14931801866475,44.18103448275862,1232,44.221105527638194
ChemBench,Qwen3-4B,2786,1501,2786,0,53.87652548456568,53.87652548456568,1501,53.87652548456568
ChemBench,Qwen3-8B,2786,1602,2785,1,57.501794687724335,57.52244165170556,1603,57.537688442211056
ChemBench4K,ChemDFM-v1.0-13B,4009,1540,4009,0,38.413569468695435,38.413569468695435,1540,38.413569468695435
ChemBench4K,ChemLLM-7B-Chat,4008,1242,4008,0,30.98802395209581,30.98802395209581,1242,30.98802395209581
ChemBench4K,Qwen3-0.6B,4009,1008,4009,0,25.14342728860065,25.14342728860065,1008,25.14342728860065
ChemBench4K,Qwen3-1.7B,4009,1200,4007,2,29.93265153404839,29.947591714499627,1202,29.98253928660514
ChemBench4K,Qwen3-4B,4009,1856,4008,1,46.29583437266151,46.30738522954092,1857,46.32077824893989
ChemBench4K,Qwen3-8B,4009,2071,4005,4,51.65876777251185,51.7103620474407,2075,51.75854327762534
MASCQA,ChemDFM-v1.0-13B,650,344,639,11,52.92307692307692,53.834115805946794,354,54.46153846153846
MASCQA,ChemLLM-7B-Chat,650,239,634,16,36.76923076923077,37.69716088328076,253,38.92307692307692
MASCQA,Qwen3-0.6B,650,123,649,1,18.923076923076923,18.952234206471495,124,19.076923076923077
MASCQA,Qwen3-1.7B,650,246,650,0,37.84615384615385,37.84615384615385,246,37.84615384615385
MASCQA,Qwen3-4B,650,387,648,2,59.53846153846154,59.72222222222222,389,59.84615384615385
MASCQA,Qwen3-8B,650,445,646,4,68.46153846153847,68.88544891640866,449,69.07692307692308
